message_id,user_id,message_length,avg_dwell,std_dwell,key_diversity,typing_duration,dwell_a,dwell_b,dwell_c,dwell_d,dwell_e,dwell_f,dwell_g,dwell_h,dwell_i,dwell_j,dwell_k,dwell_l,dwell_m,dwell_n,dwell_o,dwell_p,dwell_q,dwell_r,dwell_s,dwell_t,dwell_u,dwell_v,dwell_w,dwell_x,dwell_y,dwell_z,dwell_ö
user_001_0,user_001,12,0.28910201319170575,0.018649576763178025,6,3.3389084351400333,0.0,0.0,0.0,0.0,0.0,0.2992979790029609,0.0,0.3002702416035737,0.0,0.0,0.2896320759629063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28011069206086986,0.0,0.27536745616361197,0.0,0.0,0.286063811611124,0.0
user_001_1,user_001,5,0.16868485701836844,0.022207314440568976,4,0.8177050610299551,0.1648036382146634,0.12673494588276446,0.0,0.1084772193484987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1910415004433307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_001_2,user_001,18,0.11534344193052791,0.06819552479296796,4,2.0639235212280322,0.0,0.0,0.002952090755766329,0.0,0.0,0.0,0.0,0.16056139658072222,0.0,0.0,0.0,0.08029050766637202,0.0,0.0,0.0,0.0,0.15944569214169763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_001_3,user_001,14,0.22109219721066248,0.06115797030883941,5,3.0269680947712185,0.0,0.2232685792399052,0.0,0.0,0.0,0.0,0.24071462829498586,0.0,0.2574046241558705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19012842700386254,0.0,0.0,0.27559415934087994,0.0,0.0,0.0,0.0
user_001_4,user_001,18,0.2565201154495966,0.021479435563432018,4,4.705278139921537,0.0,0.0,0.0,0.0,0.0,0.25768220186030477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623795194414418,0.0,0.0,0.0,0.24977773196808933,0.0,0.23542326890875873,0.0,0.0,0.0
user_001_5,user_001,12,0.14201312202019928,0.022913090029778416,5,1.7277080254154138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14782036486381012,0.13519586264886274,0.0,0.0,0.0,0.12343485447701957,0.15924935255671036,0.16254057147707987
user_001_6,user_001,11,0.2619015725024786,0.06313121600259682,9,2.836334482226141,0.0,0.0,0.0,0.0,0.27809382203616456,0.26398490919520445,0.0,0.0,0.24556017941250294,0.0,0.0,0.0,0.0,0.0,0.32855189928612977,0.0,0.291472507805406,0.0,0.0,0.0,0.25591494415189087,0.2531480932242271,0.0,0.11980240507212694,0.0,0.31721980785596343,0.0
user_001_7,user_001,9,0.22385052243504677,0.035873604926644376,3,2.1008991815469957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23758758700003468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26757483639432617,0.19243524810998633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_001_8,user_001,16,0.13350740214739196,0.025412048033626164,9,2.067261939594839,0.0,0.0,0.0,0.172233775427742,0.0,0.07083546645835934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214294471792367,0.14847430898293495,0.0,0.10172466144926331,0.0,0.0,0.0,0.14918355470429703,0.10807185180980938,0.09476200731101714,0.19825470381922033
user_001_9,user_001,13,0.20687393757564942,0.06830139853718528,8,2.6488309523441305,0.0,0.0,0.0,0.2418125904587277,0.0,0.0,0.3063864671762746,0.0,0.0,0.23591219078513442,0.0,0.0,0.0,0.0,0.0,0.19126465236168166,0.13222772369936928,0.20319235385192191,0.17812881571739378,0.0,0.0,0.0,0.0,0.0,0.20324138094868485,0.0,0.0
user_001_10,user_001,18,0.29229290367554184,0.03409817343331105,4,5.202228771830849,0.0,0.0,0.0,0.29775119922166987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27897602079014183,0.0,0.0,0.0,0.0,0.2522092765124688,0.3477808699857504,0.0,0.0,0.0,0.0,0.0
